TIME,PLAKA,IL,NUTS3,StuQur,StaffDiy,Mosque,Pilgrimage,hedu,kurdpop,growth
2011,63,Sanliurfa,TRC21,0.173109575,72.366911,94.04202408,0.20284974,4.78,47.84,11.02926091
2011,64,Usak,TR334,0.403554577,189.561741,157.7718842,0.415914494,8.49,0.21,13.70895058
2011,65,Van,TRB21,0.316371517,114.226254,126.5486068,0.217267981,5.14,70.7,8.898954818
2011,66,Yozgat,TR723,1.036942555,241.788635,205.2841339,0.599239633,6.2,2.25,12.77431399
2011,67,Zonguldak,TR811,0.487748324,242.649484,236.2811599,0.341471771,8.23,0.156532961,18.25239987
2011,68,Aksaray,TR712,0.780575625,171.05614,149.6741222,0.560792447,6.58,2.039009435,9.843132372
2011,69,Bayburt,TRA13,1.191283041,388.405193,314.1129242,0.560116738,7.56,1.922517996,6.777815965
2011,70,Karaman,TR522,0.502126023,252.558706,213.2433068,0.785657014,8.01,3.333254975,2.777611827
2011,71,Kirikkale,TR711,0.38182929,160.004655,102.1847908,0.6902477,8.89,3.093698455,12.3585169
2011,72,Batman,TRC32,0.284652592,111.535008,115.1575122,0.281593253,6.45,78.23837482,11.59830218
2011,73,Sirnak,TRC33,0.132315277,94.760446,103.2757856,0.121573821,5.5,77.92833683,6.219398035
2011,74,Bartin,TR813,0.995242697,358.266014,408.4552915,0.252920085,7.31,0.083397332,9.388874893
2011,75,Ardahan,TRA24,0.546275185,251.267973,246.614862,0.147603372,6.31,19.02,20.63207081
2011,76,Igdir,TRA23,0.244629535,85.249686,117.0197557,0.18070532,6.64,31.66552881,16.08110916
2011,77,Yalova,TR425,0.377659961,121.044859,72.62691553,0.511892904,11.49,5.283210601,7.376781367
2011,78,Karabuk,TR812,0.870166752,428.711862,416.4239423,0.817207343,9.82,0.181224001,14.46109324
2011,79,Kilis,TRC13,0.542377784,207.308842,281.2329251,0.517479369,6.64,2.075244524,6.392350798
2011,80,Osmaniye,TR633,0.593789726,136.188414,109.4040057,0.32310958,8.31,4.960681244,16.91966285
2011,81,Duzce,TR423,1.001619192,249.89332,193.1923799,0.585298513,7.92,0.519780812,7.431223559
2015,1,Adana,TR621,1.396686557,84.876695,65.45536828,0.543958337,13.41,11.30618392,3.649786068
2015,2,Adiyaman,TRC12,2.004233759,170.378948,125.9178399,0.320397823,11.06,43.69,4.457340878
2015,3,Afyon,TR332,2.17005282,226.229346,162.9020543,0.465116957,10.07,0.02,6.513339171
2015,4,Agri,TRA21,1.465433746,141.627529,164.6534237,0.153873631,7.55,70.45,2.006417833
2015,5,Amasya,TR834,2.117224918,315.985188,215.1058302,0.546793503,12.6,0.76,5.751064807
2015,6,Ankara,TR510,1.347082624,106.26924,56.80594622,0.969539038,21.51,7.131934194,1.404005877
2015,7,Antalya,TR611,0.950160283,113.657418,95.3918275,0.315359997,16.02,3.22,2.312661257
2015,8,Artvin,TR905,1.722991032,384.272733,412.1874443,0.265622188,13.65,0.02,-0.892218069
2015,9,Aydin,TR321,1.056377467,142.381724,107.640583,0.189795101,13.38,4.07,5.344916512
2015,10,Balikesir,TR221,1.569157184,197.356003,141.1491479,0.398174264,13.65,2.48,4.896064474
2015,11,Bilecik,TR413,2.203323586,255.225771,195.8928428,0.373795366,13.15,3.93,1.166026895
2015,12,Bingol,TRB13,1.701449189,226.435715,220.4473322,0.26978918,10.67,76.63,2.462337911
2015,13,Bitlis,TRB23,1.999712145,227.934287,205.317096,0.150892767,9.55,64.03,4.399442929
2015,14,Bolu,TR424,2.386849654,458.269637,426.6648345,0.794910554,13.58,0.720901923,3.171880443
2015,15,Burdur,TR613,2.605491234,273.671416,205.5438784,0.466578352,12.62,0.2,4.077566251
2015,16,Bursa,TR411,1.153859549,101.704563,59.87587892,0.525499548,14.2,4.47,3.918845095
2015,17,Canakkale,TR222,0.987842389,196.165901,159.9326763,0.339830551,14.55,0.13,2.626560317
2015,18,Cankiri,TR822,2.525629335,430.517561,405.095471,0.618108912,11,1.309201459,7.878617981
2015,19,Corum,TR833,2.51361438,306.56156,251.151986,0.60109554,10.34,3.89,3.769141199
2015,20,Denizli,TR322,3.152876565,162.264128,120.6914948,0.427651453,13.06,3.08,3.239105198
2015,21,Diyarbakir,TRC22,0.342039275,132.753313,121.1464663,0.20415242,10.58,72.78,0.758584909
2015,22,Edirne,TR212,2.724221624,142.098739,99.61817175,0.205055825,13.21,0.14,5.128394938
2015,23,Elazig,TRB12,1.835961442,218.003009,168.5518471,0.439287407,13.14,43.15,2.11690688
2015,24,Erzincan,TRA12,3.158560547,277.231987,255.2508097,0.514887406,14.62,19.74,-3.93795128
2015,25,Erzurum,TRA11,2.93275405,242.679921,207.7864836,0.456770375,11.73,16.22,4.455116345
2015,26,Eskisehir,TR412,1.074492329,139.104602,94.34920819,0.676642453,17.2,3.1,0.908873837
2015,27,Gaziantep,TRC11,0.969647527,75.006367,51.40187883,0.377187748,9.9,16.27057056,6.403402087
2015,28,Giresun,TR903,3.174231168,367.483348,365.374069,0.332110521,11.94,0.26,13.58778879
2015,29,Gumushane,TR906,1.951151873,328.823564,354.5748074,0.246996633,12.47,2.07,-3.207676817
2015,30,Hakkari,TRB24,2.76567124,169.670882,182.2258093,0.14048898,10.5,89.47,6.293981541
2015,31,Hatay,TR631,0.995821995,95.141398,68.14445581,0.163963592,11.38,5.48,4.605896508
2015,32,Isparta,TR612,2.119184572,262.467814,173.0817562,0.579410143,14.79,0.27,3.020244774
2015,33,Icel,TR622,1.307914585,112.363993,88.01177616,0.24124614,13.69,9.71,5.31833942
2015,34,Istanbul,TR100,0.968518773,53.290364,22.63015477,1.286550175,17.41,8.183416132,4.332313742
2015,35,Izmir,TR310,0.833218382,68.73116,44.90915612,0.235854789,17.15,6.91,2.740160068
2015,36,Kars,TRA22,1.50208433,157.862366,173.2385704,0.12045282,10.06,17.73223342,4.789644774
2015,37,Kastamonu,TR821,2.345739642,611.056992,700.4210577,0.442115757,10.49,0.25,2.915696885
2015,38,Kayseri,TR721,1.765325236,170.164408,98.95187076,0.934021823,13.7,4.56,2.841463491
2015,39,Kirklareli,TR213,0.928890721,124.793572,142.0859836,0.211416677,13.28,0.24,6.060567299
2015,40,Kirsehir,TR715,2.569581756,273.98232,95.76081077,0.416455331,13.42,6.61,2.937500759
2015,41,Kocaeli,TR421,2.003084174,120.614251,66.45862066,0.383489558,15.1,7.94,2.998575085
2015,42,Konya,TR521,1.953538627,209.617825,147.0985814,0.785561136,12.06,5.680227273,4.959213293
2015,43,Kutahya,TR333,2.178443749,294.157277,212.2622112,0.641043799,11.37,0.03,4.260620984
2015,44,Malatya,TRB11,2.008787637,181.652573,123.8187407,0.275061349,14.31,17.2,5.064338558
2015,45,Manisa,TR331,1.357321174,170.751815,124.1699665,0.443239511,10.94,3.48,4.989639482
2015,46,KMaras,TR632,1.915539709,165.692452,119.7326306,0.333657679,10.37,15.37,5.034359033
2015,47,Mardin,TRC31,1.023109726,143.235362,141.7289425,0.131312312,9.1,74.84,4.399448475
2015,48,Mugla,TR323,0.859192168,133.0213,119.1580379,0.164687424,15.96,2.06,3.448460295
2015,49,Mus,TRB22,1.193214069,162.210565,144.5949384,0.13408231,7.9,67.75,-0.258136823
2015,50,Nevsehir,TR714,1.951061315,266.418381,172.2652885,0.575915256,11.31,2.1,5.427158535
2015,51,Nigde,TR713,2.167782869,197.622749,121.6362239,0.452927636,10.68,3.198054946,9.530263539
2015,52,Ordu,TR902,3.164830461,330.475795,285.3423216,0.362050369,10.59,0.04,15.52797688
2015,53,Rize,TR904,3.26798975,394.250089,320.9931333,0.54463623,12.94,0.06,4.70350658
2015,54,Sakarya,TR422,2.319706331,202.899554,136.0706938,1.669105136,11.95,2.82,8.926809681
2015,55,Samsun,TR831,2.631254082,280.88483,209.4721084,0.509892461,12.82,0.58,6.462481822
2015,56,Siirt,TRC34,3.624461918,249.101766,346.4949384,0.16106284,10.35,78.78,-0.40883586
2015,57,Sinop,TR823,1.947259875,515.840163,658.8841589,0.346302548,11.71,0.8,3.342196326
2015,58,Sivas,TR722,2.120698267,255.408435,103.1332796,0.46768702,12.33,11.72,4.668783302
2015,59,Tekirdag,TR211,0.94987792,83.05701,55.22917977,0.305723178,12.74,3.3,3.756015263
2015,60,Tokat,TR832,2.058452162,265.492685,195.626189,0.526463153,11.07,1.71,5.904078994
2015,61,Trabzon,TR901,2.773103666,350.070339,260.9260337,0.503705928,14.77,0.04,6.544569292
2015,62,Tunceli,TRB14,0.865514197,112.69111,106.8822901,0.113483495,16.66,55.9,-1.02379407
2015,63,Sanliurfa,TRC21,1.513010484,97.182295,100.5115414,0.13858649,7.44,47.84,3.783790719
2015,64,Usak,TR334,1.050282115,210.736217,156.0694297,0.351933758,11.55,0.21,2.030246753
2015,65,Van,TRB21,3.07379535,137.085381,125.7756087,0.195453808,8.25,70.7,2.070335498
2015,66,Yozgat,TR723,4.365344269,317.804692,231.7375548,0.467432891,9.44,2.25,8.499519634
2015,67,Zonguldak,TR811,1.732988537,276.049786,249.7033933,0.482142913,11.38,0.156532961,6.243852347
2015,68,Aksaray,TR712,2.242868305,204.649767,152.1290303,0.379329291,9.45,2.039009435,8.052275576
2015,69,Bayburt,TRA13,2.89624443,390.833864,318.2686187,0.439020752,12.02,1.922517996,4.679406628
2015,70,Karaman,TR522,2.054947233,274.15812,205.6185899,0.495095289,11.73,3.333254975,0.646378752
2015,71,Kirikkale,TR711,1.928804792,181.29951,109.5197043,0.455805374,12.81,3.093698455,5.986957995
2015,72,Batman,TRC32,1.232720297,139.949491,115.2421409,0.209447486,10.63,78.23837482,-0.338706458
2015,73,Sirnak,TRC33,1.209341798,110.366719,105.8786088,0.06472473,8.81,77.92833683,3.042059737
2015,74,Bartin,TR813,3.225874111,417.916396,415.8189483,0.365264776,10.14,0.083397332,3.127847141
2015,75,Ardahan,TRA24,1.564499068,233.717826,277.0362162,0.114226924,9.83,19.02,10.10224243
2015,76,Igdir,TRA23,2.02561904,108.088445,129.9139969,0.113580725,10.46,31.66552881,6.012277589
2015,77,Yalova,TR425,1.499942062,126.604552,69.52521147,0.367317004,15.77,5.283210601,7.770389885
2015,78,Karabuk,TR812,2.173197512,422.40208,399.193174,0.847494072,13.65,0.181224001,0.530057869
2015,79,Kilis,TRC13,1.54988328,223.489342,274.7694309,0.323958553,10.25,2.075244524,10.04503194
2015,80,Osmaniye,TR633,1.740586851,163.588257,110.7486649,0.240098799,12.78,4.960681244,2.07889804
2015,81,Duzce,TR423,2.700422878,285.803079,186.7431768,0.571151204,11.75,0.519780812,9.733706466
2016,1,Adana,TR621,1.396686557,84.876695,65.45536828,0.663680765,13.41,11.30618392,4.637215133
2016,2,Adiyaman,TRC12,2.004233759,170.378948,125.9178399,0.353886761,11.06,43.69,4.61026929
2016,3,Afyon,TR332,2.17005282,226.229346,162.9020543,0.497715069,10.07,0.02,5.893792335
2016,4,Agri,TRA21,1.465433746,141.627529,164.6534237,0.173791771,7.55,70.45,4.110469496
2016,5,Amasya,TR834,2.117224918,315.985188,215.1058302,0.522491165,12.6,0.76,8.071038823
2016,6,Ankara,TR510,1.347082624,106.26924,56.80594622,1.04246958,21.51,7.131934194,2.098255201
2016,7,Antalya,TR611,0.950160283,113.657418,95.3918275,0.310053476,16.02,3.22,1.672153638
2016,8,Artvin,TR905,1.722991032,384.272733,412.1874443,0.291984344,13.65,0.02,0.358569854
2016,9,Aydin,TR321,1.056377467,142.381724,107.640583,0.185167563,13.38,4.07,5.021533491
2016,10,Balikesir,TR221,1.569157184,197.356003,141.1491479,0.426442595,13.65,2.48,4.354020536
2016,11,Bilecik,TR413,2.203323586,255.225771,195.8928428,0.377846116,13.15,3.93,1.332917424
2016,12,Bingol,TRB13,1.701449189,226.435715,220.4473322,0.268136101,10.67,76.63,2.292666773
2016,13,Bitlis,TRB23,1.999712145,227.934287,205.317096,0.168852444,9.55,64.03,3.549671818
2016,14,Bolu,TR424,2.386849654,458.269637,426.6648345,0.788736473,13.58,0.720901923,1.553443543
